group1,group1_value,group2,group2_value,total,count_n0,count_n1,count_n2,count_n3,count_n4,count_n5plus,count_median,count_p10,count_p25,count_p75,count_p90,days_since_n12m,days_since_n24m,days_since_median,days_since_p10,days_since_p25,days_since_p75,days_since_p90,count_pct0,count_pct1,count_pct2,count_pct3,count_pct4,count_pct5plus,days_since_pct12m,days_since_pct24m
primis_atrisk_only,FALSE,severe_obesity,TRUE,90,10,10,10,0,0,50,6,0,2,11,13,60,70,276,211,240,337,371.6,11.1,11.1,11.1,0,0,55.6,66.7,77.8
primis_atrisk_only,TRUE,severe_obesity,FALSE,1130,60,80,80,80,80,750,7,1,3,11,13,660,790,306.5,224,256,351,377,5.3,7.1,7.1,7.1,7.1,66.4,58.4,69.9
primis_atrisk_only,TRUE,severe_obesity,TRUE,100,10,10,0,10,10,70,7,1,3,11,13,50,70,306,217.5,252.75,362.75,385.5,10,10,0,10,10,70,50,70
primis_atrisk_only,FALSE,smi,FALSE,3620,260,260,240,250,230,2380,7,1,3,11,13,2170,2610,297,218,247,348,379,7.2,7.2,6.6,6.9,6.4,65.7,59.9,72.1
primis_atrisk_only,FALSE,smi,TRUE,80,10,10,0,10,0,40,6,1,3,11,13,30,50,305,230,267.5,372,390.4,12.5,12.5,0,12.5,0,50,37.5,62.5
primis_atrisk_only,TRUE,smi,FALSE,1100,60,80,80,70,80,730,7,1,3,11,13,640,770,306,224,256,351,379.1,5.5,7.3,7.3,6.4,7.3,66.4,58.2,70
primis_atrisk_only,TRUE,smi,TRUE,120,10,10,0,10,10,90,6,1,4,9,12.600000000000009,70,90,308,218.5,250.5,354,379,8.3,8.3,0,8.3,8.3,75,58.3,75
primis_atrisk_only,FALSE,rrt_cat,1 dialysis,40,0,0,0,0,0,30,9,1,5,11,13,30,30,264,217.6,233,315,340.8,0,0,0,0,0,75,75,75
primis_atrisk_only,FALSE,rrt_cat,2 transplant,20,0,0,0,0,0,20,6,3,4,9,12,10,20,311,251.5,285.75,345.5,381,0,0,0,0,0,100,50,100
primis_atrisk_only,FALSE,rrt_cat,0 no RRT,3640,260,270,240,250,230,2380,7,1,3,11,13,2160,2610,297,218,247,349,380,7.1,7.4,6.6,6.9,6.3,65.4,59.3,71.7
primis_atrisk_only,TRUE,rrt_cat,1 dialysis,0,0,0,0,0,0,0,9,1.1999999999999997,3,9,11.999999999999998,0,0,333,275.6,308,353.75,378.5,NA,NA,NA,NA,NA,NA,NA,NA
primis_atrisk_only,TRUE,rrt_cat,2 transplant,20,0,0,0,0,0,10,6.5,2.5,3.75,8.5,10,10,10,250.5,205.7,221,279.25,321.5,0,0,0,0,0,50,50,50
primis_atrisk_only,TRUE,rrt_cat,0 no RRT,1210,70,90,80,80,80,810,7,1,3,11,13,700,840,307.5,224,256,352,379,5.8,7.4,6.6,6.6,6.6,66.9,57.9,69.4
primis_atrisk_only,FALSE,copd,FALSE,3640,260,260,240,250,230,2390,7,1,3,11,13,2160,2610,297,219,247,349,380,7.1,7.1,6.6,6.9,6.3,65.7,59.3,71.7
primis_atrisk_only,FALSE,copd,TRUE,60,0,10,0,0,10,40,7.5,1,3,11.25,13.700000000000003,40,50,291,209.6,244.5,352,368.4,0,16.7,0,0,16.7,66.7,66.7,83.3
primis_atrisk_only,TRUE,copd,FALSE,1200,70,90,80,80,80,790,7,1,3,10.25,13,690,830,307,223.1,256,351.25,379,5.8,7.5,6.7,6.7,6.7,65.8,57.5,69.2
primis_atrisk_only,TRUE,copd,TRUE,30,0,0,0,0,0,30,9,1.2000000000000002,6,12,13,20,30,306,234,255,335.25,376,0,0,0,0,0,100,66.7,100
primis_atrisk_only,FALSE,down_sydrome,FALSE,3630,260,260,240,260,230,2380,7,1,3,11,13,2160,2610,296,218,247,349,380,7.2,7.2,6.6,7.2,6.3,65.6,59.5,71.9
primis_atrisk_only,FALSE,down_sydrome,TRUE,70,0,10,0,0,0,40,7,1,3.5,10,13,40,40,322,242.4,271,349,384.8,0,14.3,0,0,0,57.1,57.1,57.1
primis_atrisk_only,TRUE,down_sydrome,FALSE,1210,70,90,80,80,80,810,7,1,3,11,13,700,840,307.5,224,256,351,379.7,5.8,7.4,6.6,6.6,6.6,66.9,57.9,69.4
primis_atrisk_only,TRUE,down_sydrome,TRUE,20,0,0,0,0,0,10,5,1,2,10,12.600000000000001,10,10,277.5,233.9,250.75,326.75,370.9,0,0,0,0,0,50,50,50
primis_atrisk_only,FALSE,sickle_cell,FALSE,3630,260,260,240,250,230,2390,7,1,3,11,13,2160,2600,297,218,247,349,380,7.2,7.2,6.6,6.9,6.3,65.8,59.5,71.6
primis_atrisk_only,FALSE,sickle_cell,TRUE,70,0,10,0,0,10,40,6,1,3,11,13,40,50,302.5,216.4,250.25,346.25,379.9,0,14.3,0,0,14.3,57.1,57.1,71.4
primis_atrisk_only,TRUE,sickle_cell,FALSE,1200,70,90,80,80,80,800,7,1,3,10,13,690,830,307,224,256,351,379.7,5.8,7.5,6.7,6.7,6.7,66.7,57.5,69.2
primis_atrisk_only,TRUE,sickle_cell,TRUE,30,0,0,0,0,0,20,10,0.3000000000000007,3,12,13.7,20,20,300.5,220.6,254.25,352.25,377.1,0,0,0,0,0,66.7,66.7,66.7
carehome_status,FALSE,all,All,4120,270,310,290,300,260,2700,7,1,3,11,13,2440,2950,300,219,250,350,379.4,6.6,7.5,7,7.3,6.3,65.5,59.2,71.6
carehome_status,TRUE,all,All,810,60,50,40,40,60,550,7,1,4,11,13,470,560,294,219,247,349,381.6,7.4,6.2,4.9,4.9,7.4,67.9,58,69.1
carehome_status,FALSE,sex,Female,2190,130,180,150,160,140,1430,7,1,3,11,13,1330,1570,296,218.6,250,346,376,5.9,8.2,6.8,7.3,6.4,65.3,60.7,71.7
carehome_status,FALSE,sex,Male,1930,140,130,140,140,120,1270,7,1,3,11,13,1120,1380,304,220,250,352,381,7.3,6.7,7.3,7.3,6.2,65.8,58,71.5
carehome_status,TRUE,sex,Female,370,30,20,20,20,20,270,8,1,4,11,14,210,260,298,222,252,350.5,381.5,8.1,5.4,5.4,5.4,5.4,73,56.8,70.3
carehome_status,TRUE,sex,Male,430,40,30,20,20,40,280,7,1,3,11,13,260,310,292,218,246,349,380.4,9.3,7,4.7,4.7,9.3,65.1,60.5,72.1
carehome_status,FALSE,ageband4,16-49,470,30,30,30,30,30,310,7,1,3,11,13,270,320,301.5,222.1,253.25,349,374.9,6.4,6.4,6.4,6.4,6.4,66,57.4,68.1
carehome_status,FALSE,ageband4,50-64,750,40,60,50,50,60,500,7,1,3,10,13,430,530,311,224.5,256,352.75,381,5.3,8,6.7,6.7,8,66.7,57.3,70.7
carehome_status,FALSE,ageband4,65-74,1750,120,120,140,120,100,1150,7,1,3,11,13,1040,1270,299,218,248,351,379,6.9,6.9,8,6.9,5.7,65.7,59.4,72.6
carehome_status,FALSE,ageband4,75-104,1160,80,100,70,90,80,740,7,1,3,11,13,700,830,295,218,246,345,380.8,6.9,8.6,6,7.8,6.9,63.8,60.3,71.6
carehome_status,TRUE,ageband4,16-49,20,0,0,0,0,0,20,7,3,4,10,12,20,20,265,214.5,231.75,326.5,350.5,0,0,0,0,0,100,100,100
carehome_status,TRUE,ageband4,50-64,40,0,0,0,0,0,30,8,2.8000000000000007,4,10,13.200000000000003,20,30,321,232.8,270.5,344.25,387.1,0,0,0,0,0,75,50,75
carehome_status,TRUE,ageband4,65-74,460,40,30,30,20,40,310,7,1,3,11,13,270,330,294,219,247,351.75,382,8.7,6.5,6.5,4.3,8.7,67.4,58.7,71.7
carehome_status,TRUE,ageband4,75-104,280,20,20,10,20,20,200,8,1,4,11,13,160,190,289,218.6,249.5,345,371.4,7.1,7.1,3.6,7.1,7.1,71.4,57.1,67.9
carehome_status,FALSE,ageband13,16-19,0,0,0,0,0,0,0,6.5,3.7000000000000006,4.75,8.25,9.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carehome_status,FALSE,ageband13,20-29,20,0,0,0,0,0,20,8,1.2000000000000002,4.5,10.5,11,10,20,323,247.4,279.5,355,378.2,0,0,0,0,0,100,50,100
carehome_status,FALSE,ageband13,30-39,140,10,10,10,10,10,90,7,1,3,11,13,80,100,306,214,252,351,376,7.1,7.1,7.1,7.1,7.1,64.3,57.1,71.4
carehome_status,FALSE,ageband13,40-49,300,20,20,20,20,20,200,7,1,3,10,13,180,210,296.5,227,254.5,345.75,373.5,6.7,6.7,6.7,6.7,6.7,66.7,60,70
carehome_status,FALSE,ageband13,50-54,240,10,20,20,10,20,160,6,1,3,10,13,130,170,319,224,256,355.25,383.5,4.2,8.3,8.3,4.2,8.3,66.7,54.2,70.8
carehome_status,FALSE,ageband13,55-59,250,20,20,10,20,20,170,7,1,3.25,10,13,150,170,305.5,229,255.25,349.75,381,8,8,4,8,8,68,60,68
carehome_status,FALSE,ageband13,60-64,260,10,20,20,20,20,170,7,1,3,11,13,150,190,308.5,220,256.25,354,378,3.8,7.7,7.7,7.7,7.7,65.4,57.7,73.1
carehome_status,FALSE,ageband13,65-69,980,60,50,70,80,60,660,7,1,3,11,13,590,710,298,217,247,350,376,6.1,5.1,7.1,8.2,6.1,67.3,60.2,72.4
carehome_status,FALSE,ageband13,70-74,770,60,70,70,40,40,490,6,1,2,10,13,460,560,300,219.8,249,353,381,7.8,9.1,9.1,5.2,5.2,63.6,59.7,72.7
carehome_status,FALSE,ageband13,75-79,540,40,50,30,50,40,340,7,1,3,11,13,340,400,286.5,214.3,238.75,341,379.7,7.4,9.3,5.6,9.3,7.4,63,63,74.1
carehome_status,FALSE,ageband13,80-84,320,30,20,20,20,20,210,8,1,3,11,13,200,240,300,231.6,257,346,378.4,9.4,6.2,6.2,6.2,6.2,65.6,62.5,75
carehome_status,FALSE,ageband13,85-89,180,10,20,10,20,10,120,6.5,1,3,11,13,100,120,302,215.8,246,344,384.6,5.6,11.1,5.6,11.1,5.6,66.7,55.6,66.7
carehome_status,FALSE,ageband13,90-104,110,10,10,10,10,0,80,7,1,3,11,13,60,70,320,215,265,360,383.8,9.1,9.1,9.1,9.1,0,72.7,54.5,63.6
carehome_status,TRUE,ageband13,16-19,0,0,0,0,0,0,0,5,5,5,5,5,0,0,349,349,349,349,349,NA,NA,NA,NA,NA,NA,NA,NA
carehome_status,TRUE,ageband13,30-39,10,0,0,0,0,0,10,8,4.6,6,9.5,12.200000000000001,0,10,280,211.5,228.25,317.5,355,0,0,0,0,0,100,0,100
carehome_status,TRUE,ageband13,40-49,10,0,0,0,0,0,10,6,2.2,3,10,11.8,10,10,260,217.8,236,317,335.2,0,0,0,0,0,100,100,100
carehome_status,TRUE,ageband13,50-54,10,0,0,0,0,0,10,8,4,5,9,12.8,10,10,322,232.7,262.5,336.75,375.8,0,0,0,0,0,100,100,100
carehome_status,TRUE,ageband13,55-59,10,0,0,0,0,0,10,7.5,3.1,4,11.25,13.8,10,10,316,267.9,282,354.25,389.2,0,0,0,0,0,100,100,100
carehome_status,TRUE,ageband13,60-64,10,0,0,0,0,0,10,8.5,0.2999999999999998,4.75,9.75,10.700000000000001,10,10,320.5,228.9,256.75,344.25,384.2,0,0,0,0,0,100,100,100
carehome_status,TRUE,ageband13,65-69,260,30,20,10,10,20,160,7,0,3,11,13,160,190,293.5,222.1,247.75,350,379.9,11.5,7.7,3.8,3.8,7.7,61.5,61.5,73.1
carehome_status,TRUE,ageband13,70-74,210,10,10,20,10,10,150,8,1.7000000000000028,4,11,14,110,140,296,218.1,247,357,385.9,4.8,4.8,9.5,4.8,4.8,71.4,52.4,66.7
carehome_status,TRUE,ageband13,75-79,130,10,10,0,10,10,90,8,1,3,11,13,70,80,296,221.9,248.25,353,383.6,7.7,7.7,0,7.7,7.7,69.2,53.8,61.5
carehome_status,TRUE,ageband13,80-84,70,0,0,0,0,0,60,8,3,5,11,13,50,50,270,219.6,246,318,363.8,0,0,0,0,0,85.7,71.4,71.4
carehome_status,TRUE,ageband13,85-89,50,0,0,0,0,0,30,8,0.5,4,10.75,13.5,20,30,326,226.8,272,349,370,0,0,0,0,0,60,40,60
carehome_status,TRUE,ageband13,90-104,40,0,0,0,0,0,20,7,0,3,9.5,13,20,20,282,209.2,247,329,365.4,0,0,0,0,0,50,50,50
carehome_status,FALSE,ethnicity5,White,2310,150,170,160,150,150,1530,7,1,3,11,13,1370,1640,298.5,217.3,247,348.25,377.7,6.5,7.4,6.9,6.5,6.5,66.2,59.3,71
carehome_status,FALSE,ethnicity5,Mixed,370,30,20,20,40,20,230,7,1,3,11,13,210,260,301,223,255,346,385,8.1,5.4,5.4,10.8,5.4,62.2,56.8,70.3
carehome_status,FALSE,ethnicity5,Asian or Asian British,340,20,20,20,20,20,220,7,1,3,11,13,200,240,302.5,218.5,241.75,347,375,5.9,5.9,5.9,5.9,5.9,64.7,58.8,70.6
carehome_status,FALSE,ethnicity5,Black or Black British,360,10,40,30,20,20,230,7,1,3,11,13,220,270,300,224.8,250,356,383.4,2.8,11.1,8.3,5.6,5.6,63.9,61.1,75
carehome_status,FALSE,ethnicity5,Chinese or Other Ethnic Groups,360,30,30,20,40,20,230,7,1,3,10,13,230,280,306,222.6,258,350,382,8.3,8.3,5.6,11.1,5.6,63.9,63.9,77.8
carehome_status,FALSE,ethnicity5,(Missing),380,20,20,20,30,20,260,7,1,3,10,13,220,260,304,224,254.75,352.25,382,5.3,5.3,5.3,7.9,5.3,68.4,57.9,68.4
carehome_status,TRUE,ethnicity5,White,430,40,30,20,30,30,290,7,1,3,11,13,250,300,290,222,247,349,381.5,9.3,7,4.7,7,7,67.4,58.1,69.8
carehome_status,TRUE,ethnicity5,Mixed,50,0,0,0,0,0,40,8,2,4,12,13,30,40,310,232,273,369,382.8,0,0,0,0,0,80,60,80
carehome_status,TRUE,ethnicity5,Asian or Asian British,80,10,0,0,0,10,50,8,1,4,11.25,13,50,60,298,213,243,345,372.8,12.5,0,0,0,12.5,62.5,62.5,75
carehome_status,TRUE,ethnicity5,Black or Black British,70,10,0,0,0,10,50,6,1,4,11,13,40,50,306,217,251.5,346.25,385.5,14.3,0,0,0,14.3,71.4,57.1,71.4
carehome_status,TRUE,ethnicity5,Chinese or Other Ethnic Groups,80,0,0,10,0,10,60,7,2,4,11,13,50,60,309,220.8,253.5,359,390.6,0,0,12.5,0,12.5,75,62.5,75
carehome_status,TRUE,ethnicity5,(Missing),90,10,10,10,0,0,60,8,1,3,11,13.799999999999997,50,60,280,212.1,242,346.5,368,11.1,11.1,11.1,0,0,66.7,55.6,66.7
carehome_status,FALSE,region,North East and Yorkshire,2100,150,160,150,150,130,1350,7,1,3,11,13,1240,1480,301,219,253,349,378,7.1,7.6,7.1,7.1,6.2,64.3,59,70.5
carehome_status,FALSE,region,North West,860,50,60,50,60,50,590,8,1,4,11,13,520,630,297.5,216,246,350,379.3,5.8,7,5.8,7,5.8,68.6,60.5,73.3
carehome_status,FALSE,region,Midlands,390,20,30,30,20,20,270,7,1,4,11,13,250,300,302,223.6,253,346,379.4,5.1,7.7,7.7,5.1,5.1,69.2,64.1,76.9
carehome_status,FALSE,region,East of England,190,10,20,20,20,10,110,6,1,2,10,12.700000000000017,110,140,321,226,254,364,388,5.3,10.5,10.5,10.5,5.3,57.9,57.9,73.7
carehome_status,FALSE,region,London,200,20,20,10,20,10,110,6,0.7000000000000028,3,10,12,120,140,301,227.2,258,345.5,384.8,10,10,5,10,5,55,60,70
carehome_status,FALSE,region,South East,210,10,10,20,20,20,140,7,1.6000000000000014,3,10.5,13,110,140,296,218.9,243.75,347.25,380,4.8,4.8,9.5,9.5,9.5,66.7,52.4,66.7
carehome_status,FALSE,region,South West,180,10,10,10,10,10,120,7,1,3,11,13,100,110,293,215.2,239,345,370.2,5.6,5.6,5.6,5.6,5.6,66.7,55.6,61.1
carehome_status,TRUE,region,North East and Yorkshire,430,40,30,30,20,30,280,7,1,3,11,13,250,300,288,222.2,247,350,383.8,9.3,7,7,4.7,7,65.1,58.1,69.8
carehome_status,TRUE,region,North West,150,10,10,0,10,10,100,7,1,4,11,13,90,100,293,212,246,348.25,372.4,6.7,6.7,0,6.7,6.7,66.7,60,66.7
carehome_status,TRUE,region,Midlands,90,0,0,0,0,10,60,8,2,4,12,13,40,60,310,221.2,263,355.5,388,0,0,0,0,11.1,66.7,44.4,66.7
carehome_status,TRUE,region,East of England,40,0,0,0,0,0,20,7,0.5,3.75,11,13,20,20,321.5,210.9,235,360.5,382.9,0,0,0,0,0,50,50,50
carehome_status,TRUE,region,London,30,0,0,0,0,0,20,8,2.7,4.75,11.25,13,20,20,322,239.4,280.5,348.5,373.8,0,0,0,0,0,66.7,66.7,66.7
carehome_status,TRUE,region,South East,40,0,0,0,0,0,20,7.5,0,4,10.25,13,20,30,295.5,214.5,257.5,336,372,0,0,0,0,0,50,50,75
carehome_status,TRUE,region,South West,40,0,0,0,0,0,30,8,1.4000000000000004,4,11,14,30,30,289,213.6,234.75,340.25,366.9,0,0,0,0,0,75,75,75
carehome_status,FALSE,imd_quintile,1 (most deprived),800,50,60,50,60,40,540,7,1,3,11,13,490,580,293,218.9,248,343,379,6.2,7.5,6.2,7.5,5,67.5,61.2,72.5
carehome_status,FALSE,imd_quintile,2,840,50,70,60,60,60,540,7,1,3,10,13,500,600,298,220,252.5,348,374,6,8.3,7.1,7.1,7.1,64.3,59.5,71.4
carehome_status,FALSE,imd_quintile,3,810,60,70,60,60,60,510,7,1,3,11,13,490,590,303,223.8,253,352,380.2,7.4,8.6,7.4,7.4,7.4,63,60.5,72.8
carehome_status,FALSE,imd_quintile,4,740,60,40,60,50,40,490,7,1,3,11,13,420,520,302,220,247.25,351.75,380,8.1,5.4,8.1,6.8,5.4,66.2,56.8,70.3
carehome_status,FALSE,imd_quintile,5 (least deprived),700,40,50,40,50,50,470,7,1,3,11,13,410,510,306.5,218.1,250,354,382.9,5.7,7.1,5.7,7.1,7.1,67.1,58.6,72.9
carehome_status,FALSE,imd_quintile,(Missing),220,20,20,20,20,10,140,7,1,3,11,13,130,150,292,209.8,244,336,369.6,9.1,9.1,9.1,9.1,4.5,63.6,59.1,68.2
carehome_status,TRUE,imd_quintile,1 (most deprived),140,10,10,0,10,10,100,8,1,4,11,14,70,90,303.5,223.8,253.5,352,384.8,7.1,7.1,0,7.1,7.1,71.4,50,64.3
carehome_status,TRUE,imd_quintile,2,140,20,0,10,0,10,100,8,0,4,12,14,80,90,302,210,249.5,342.5,372,14.3,0,7.1,0,7.1,71.4,57.1,64.3
carehome_status,TRUE,imd_quintile,3,150,10,0,10,10,10,100,7,1.3000000000000007,3.25,10,14,90,110,305.5,220.9,254.25,359.5,384.7,6.7,0,6.7,6.7,6.7,66.7,60,73.3
carehome_status,TRUE,imd_quintile,4,170,20,10,10,10,20,110,7.5,1,3,11,13,110,120,285,218,241.25,336.75,369.8,11.8,5.9,5.9,5.9,11.8,64.7,64.7,70.6
carehome_status,TRUE,imd_quintile,5 (least deprived),160,10,10,10,10,10,110,7,1,3.75,11,13,90,110,294,219.6,252,351,382.4,6.2,6.2,6.2,6.2,6.2,68.8,56.2,68.8
carehome_status,TRUE,imd_quintile,(Missing),40,0,0,0,0,0,30,7,1,3,10.75,12,30,30,279,234,242.5,318,390,0,0,0,0,0,75,75,75
carehome_status,FALSE,primis_atrisk,FALSE,2330,170,180,160,170,140,1520,7,1,3,11,13,1400,1690,299,219,248,350,379,7.3,7.7,6.9,7.3,6,65.2,60.1,72.5
carehome_status,FALSE,primis_atrisk,TRUE,1790,100,130,130,130,120,1180,7,1,3,11,13,1050,1260,301,220,252,349,380,5.6,7.3,7.3,7.3,6.7,65.9,58.7,70.4
carehome_status,TRUE,primis_atrisk,FALSE,630,50,40,30,30,50,430,7,1,4,11,13,370,450,291,218.6,246,349,380,7.9,6.3,4.8,4.8,7.9,68.3,58.7,71.4
carehome_status,TRUE,primis_atrisk,TRUE,180,20,10,10,10,10,120,8,1,3,11,13,100,120,307.5,230,256.25,351.75,383.6,11.1,5.6,5.6,5.6,5.6,66.7,55.6,66.7
carehome_status,FALSE,crd,FALSE,3930,270,300,280,280,250,2560,7,1,3,11,13,2340,2820,300,219,250,350,379,6.9,7.6,7.1,7.1,6.4,65.1,59.5,71.8
carehome_status,FALSE,crd,TRUE,190,0,10,10,10,20,130,7,2,4,11,13,100,130,306,225,250,355,381,0,5.3,5.3,5.3,10.5,68.4,52.6,68.4
carehome_status,TRUE,crd,FALSE,790,60,50,40,40,60,540,7,1,4,11,13,460,550,293,219,247,349,380,7.6,6.3,5.1,5.1,7.6,68.4,58.2,69.6
carehome_status,TRUE,crd,TRUE,20,0,0,0,0,0,10,7,1,3,10,12.4,10,10,350.5,259.8,277,377,390.1,0,0,0,0,0,50,50,50
carehome_status,FALSE,chd,FALSE,3940,260,290,270,280,250,2580,7,1,3,11,13,2340,2820,300,220,250,350,379,6.6,7.4,6.9,7.1,6.3,65.5,59.4,71.6
carehome_status,FALSE,chd,TRUE,180,10,20,20,10,10,120,6.5,1,3,11,13,100,130,300,214.4,248,348.25,385.2,5.6,11.1,11.1,5.6,5.6,66.7,55.6,72.2
carehome_status,TRUE,chd,FALSE,790,60,50,40,40,60,540,7,1,4,11,13,460,550,293.5,219,247,349,380.7,7.6,6.3,5.1,5.1,7.6,68.4,58.2,69.6
carehome_status,TRUE,chd,TRUE,20,0,0,0,0,0,10,7,2,3,9.25,14,10,10,318,211,269,355,391,0,0,0,0,0,50,50,50
carehome_status,FALSE,ckd,FALSE,3950,260,300,270,290,250,2580,7,1,3,11,13,2340,2830,300,219,249,350,380,6.6,7.6,6.8,7.3,6.3,65.3,59.2,71.6
carehome_status,FALSE,ckd,TRUE,170,10,10,20,10,10,110,8,1.6000000000000014,3.5,11.5,13,100,120,314.5,223,268.25,346.75,368,5.9,5.9,11.8,5.9,5.9,64.7,58.8,70.6
carehome_status,TRUE,ckd,FALSE,790,60,50,40,40,60,540,7,1,4,11,13,460,550,293,219,247,349,380,7.6,6.3,5.1,5.1,7.6,68.4,58.2,69.6
carehome_status,TRUE,ckd,TRUE,20,0,0,0,0,0,20,8,1,5,11,11.599999999999998,10,10,331,228.9,256.75,379.25,391,0,0,0,0,0,100,50,50
carehome_status,FALSE,cld,FALSE,3940,260,300,280,280,250,2570,7,1,3,11,13,2340,2820,300,219,250,350,379,6.6,7.6,7.1,7.1,6.3,65.2,59.4,71.6
carehome_status,FALSE,cld,TRUE,180,10,10,10,10,20,120,7.5,1,4,12,13,110,130,304.5,227,255.25,349.75,379,5.6,5.6,5.6,5.6,11.1,66.7,61.1,72.2
carehome_status,TRUE,cld,FALSE,780,60,50,40,40,60,530,7,1,4,11,13,460,550,294,219,248,349,381.1,7.7,6.4,5.1,5.1,7.7,67.9,59,70.5
carehome_status,TRUE,cld,TRUE,20,0,0,0,0,0,20,10,2.3000000000000003,6.75,11,12,10,20,289,213.8,236.5,323.5,382.2,0,0,0,0,0,100,50,100
carehome_status,FALSE,cns_learndis,FALSE,3780,250,280,260,270,230,2480,7,1,3,11,13,2250,2700,300,219,249.25,349,379,6.6,7.4,6.9,7.1,6.1,65.6,59.5,71.4
carehome_status,FALSE,cns_learndis,TRUE,350,20,30,30,20,30,220,6,1,3,10,13,200,240,298,228,253,357,380,5.7,8.6,8.6,5.7,8.6,62.9,57.1,68.6
carehome_status,TRUE,cns_learndis,FALSE,780,60,50,40,40,60,530,7,1,4,11,13,450,540,293,219,247,350,381.8,7.7,6.4,5.1,5.1,7.7,67.9,57.7,69.2
carehome_status,TRUE,cns_learndis,TRUE,30,0,0,0,0,0,20,7,0.6000000000000001,2.5,9.5,13,20,20,301.5,231.9,256.75,334.75,367,0,0,0,0,0,66.7,66.7,66.7
carehome_status,FALSE,diabetes,FALSE,3950,260,290,280,280,260,2580,7,1,3,11,13,2350,2830,300,219,250,350,379,6.6,7.3,7.1,7.1,6.6,65.3,59.5,71.6
carehome_status,FALSE,diabetes,TRUE,180,10,20,10,20,10,120,7,1,3,10,13,100,120,306,219.4,258.5,354.25,382.3,5.6,11.1,5.6,11.1,5.6,66.7,55.6,66.7
carehome_status,TRUE,diabetes,FALSE,790,60,50,40,40,60,540,7,1,4,11,13,460,550,293,219,247,349,382,7.6,6.3,5.1,5.1,7.6,68.4,58.2,69.6
carehome_status,TRUE,diabetes,TRUE,20,0,0,0,0,0,10,7,0,3.5,10,13,10,10,298,249,268.5,341.5,350,0,0,0,0,0,50,50,50
carehome_status,FALSE,immunosuppressed_asplenia,FALSE,3740,250,280,260,260,240,2460,7,1,3,11,13,2190,2660,300,219,249,350,380,6.7,7.5,7,7,6.4,65.8,58.6,71.1
carehome_status,FALSE,immunosuppressed_asplenia,TRUE,380,20,30,30,30,20,240,6,1,3,11,13,260,290,301.5,221.7,254.75,340.25,368.6,5.3,7.9,7.9,7.9,5.3,63.2,68.4,76.3
carehome_status,TRUE,immunosuppressed_asplenia,FALSE,770,60,50,40,40,60,530,7,1,4,11,13,450,540,293,219,247,349,381.8,7.8,6.5,5.2,5.2,7.8,68.8,58.4,70.1
carehome_status,TRUE,immunosuppressed_asplenia,TRUE,40,0,0,0,0,0,20,7,2,4,9.5,12,20,20,303.5,232.2,250.5,359,367.8,0,0,0,0,0,50,50,50
carehome_status,FALSE,severe_obesity,FALSE,3950,260,300,270,280,250,2590,7,1,3,11,13,2350,2820,300,220,250,350,379,6.6,7.6,6.8,7.1,6.3,65.6,59.5,71.4
carehome_status,FALSE,severe_obesity,TRUE,170,20,10,10,10,10,110,7,1,2.25,10,13,100,120,297.5,215.1,244.5,347.5,385,11.8,5.9,5.9,5.9,5.9,64.7,58.8,70.6
carehome_status,TRUE,severe_obesity,FALSE,790,60,40,40,40,60,540,7,1,4,11,13,460,550,294,219,247.75,349.25,381.9,7.6,5.1,5.1,5.1,7.6,68.4,58.2,69.6
carehome_status,TRUE,severe_obesity,TRUE,20,0,0,0,0,0,10,8,1,2,11.75,13.3,10,10,286,211,245,349,352.2,0,0,0,0,0,50,50,50
carehome_status,FALSE,smi,FALSE,3950,260,300,280,280,250,2580,7,1,3,11,13,2350,2830,300,219,250,349,379,6.6,7.6,7.1,7.1,6.3,65.3,59.5,71.6
carehome_status,FALSE,smi,TRUE,180,20,10,10,20,10,110,6,1,3,9.5,12,90,120,302,220,251,355,385,11.1,5.6,5.6,11.1,5.6,61.1,50,66.7
carehome_status,TRUE,smi,FALSE,780,60,50,40,40,60,530,7,1,4,11,13,460,550,292,219,247,349,380,7.7,6.4,5.1,5.1,7.7,67.9,59,70.5
carehome_status,TRUE,smi,TRUE,20,0,0,0,0,0,20,9,1,4,13,13.600000000000001,10,10,343.5,273,302.75,369.75,387.9,0,0,0,0,0,100,50,50
carehome_status,FALSE,rrt_cat,1 dialysis,30,0,0,0,0,0,20,9,1,4,11,13,20,30,313,221,239,325,344.5,0,0,0,0,0,66.7,66.7,100
carehome_status,FALSE,rrt_cat,2 transplant,40,0,0,0,0,0,20,6,2.4000000000000004,3.5,8.5,12,20,20,286,238.6,250.5,322,346.6,0,0,0,0,0,50,50,50
carehome_status,FALSE,rrt_cat,0 no RRT,4050,270,310,280,290,260,2650,7,1,3,11,13,2400,2900,300,219,250,350,380,6.7,7.7,6.9,7.2,6.4,65.4,59.3,71.6
carehome_status,TRUE,rrt_cat,1 dialysis,10,0,0,0,0,0,10,10,6.6000000000000005,9,11,12.2,10,10,250,214,225.5,256,274,0,0,0,0,0,100,100,100
carehome_status,TRUE,rrt_cat,2 transplant,0,0,0,0,0,0,0,8,4.6,5.5,10.5,11.4,0,0,285,227.4,249,341.5,375.4,NA,NA,NA,NA,NA,NA,NA,NA
carehome_status,TRUE,rrt_cat,0 no RRT,790,60,50,40,40,60,540,7,1,4,11,13,460,560,295,219,248,349.5,381.6,7.6,6.3,5.1,5.1,7.6,68.4,58.2,70.9
